Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Average calibration accuracy [mm]	Average calibration precision SD [mm]	Average calibration precision RMS [mm]	Average calibration accuracy [°]	Average calibration precision SD [°]	Average calibration precision RMS [°]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [MCS px]	Gaze point Y [MCS px]	Gaze point left X [MCS px]	Gaze point left Y [MCS px]	Gaze point right X [MCS px]	Gaze point right Y [MCS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [MCS px]	Fixation point Y [MCS px]
4859841	6367598		Project63-57	2021/10/14	Participant12		Recording28	2020/10/22	2020/10/22	14:39:09.200	06:39:09.200	7026233	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.0	13.5	19.9	1.27	1.72	2.53		hou_shu_01_s																														Unclassified	25	77974		
4859844	6367600	Eye Tracker	Project63-57	2021/10/14	Participant12		Recording28	2020/10/22	2020/10/22	14:39:09.200	06:39:09.200	7026233	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.0	13.5	19.9	1.27	1.72	2.53	6367600496			1039	650	1208	464	870	836	0.18067	0.09941	-0.97851	-0.05360	0.21257	-0.97568			Valid	Valid	132.7	30.8	591.9	201.3	31.9	606.2	0.5412	0.6019	0.6293	0.4300	0.4531	0.7738	Unclassified	25	77974		
4859852	6367609	Eye Tracker	Project63-57	2021/10/14	Participant12		Recording28	2020/10/22	2020/10/22	14:39:09.200	06:39:09.200	7026233	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.0	13.5	19.9	1.27	1.72	2.53	6367608802			1040	653	1205	468	875	839	0.17995	0.10038	-0.97854	-0.05164	0.21362	-0.97555			Valid	Valid	132.5	30.8	591.8	201.1	31.8	606.4	0.5416	0.6048	0.6277	0.4329	0.4555	0.7767	Unclassified	25	77974		
4859861	6367617	Eye Tracker	Project63-57	2021/10/14	Participant12		Recording28	2020/10/22	2020/10/22	14:39:09.200	06:39:09.200	7026233	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.0	13.5	19.9	1.27	1.72	2.53	6367617094			1034	651	1196	463	871	840	0.17718	0.09867	-0.97922	-0.05260	0.21402	-0.97541	4.90	4.89	Valid	Valid	132.3	31.0	591.3	201.0	31.6	606.8	0.5384	0.6030	0.6230	0.4284	0.4538	0.7777	Unclassified	25	77974		
4859869	6367625	Eye Tracker	Project63-57	2021/10/14	Participant12		Recording28	2020/10/22	2020/10/22	14:39:09.200	06:39:09.200	7026233	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.0	13.5	19.9	1.27	1.72	2.53	6367625444			858	817			858	817				-0.05699	0.20731	-0.97661			Invalid	Valid				200.9	31.5	606.9	0.4470	0.7569			0.4470	0.7569	Saccade	8	32133		
4859877	6367634	Eye Tracker	Project63-57	2021/10/14	Participant12		Recording28	2020/10/22	2020/10/22	14:39:09.200	06:39:09.200	7026233	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.0	13.5	19.9	1.27	1.72	2.53	6367633791			1009	632	1161	447	858	817	0.16553	0.09354	-0.98176	-0.05663	0.20736	-0.97663			Valid	Valid	132.0	31.2	590.8	200.7	31.5	606.7	0.5257	0.5854	0.6044	0.4138	0.4470	0.7569	Fixation	83	3573	1025	628
4859886	6367642	Eye Tracker	Project63-57	2021/10/14	Participant12		Recording28	2020/10/22	2020/10/22	14:39:09.200	06:39:09.200	7026233	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.0	13.5	19.9	1.27	1.72	2.53	6367642135			1013	623	1167	442	860	804	0.16795	0.09188	-0.98150	-0.05588	0.20391	-0.97739	4.92	4.90	Valid	Valid	131.8	31.2	591.0	200.7	30.7	609.3	0.5276	0.5770	0.6076	0.4090	0.4477	0.7449	Fixation	83	3573	1025	628
4859894	6367650	Eye Tracker	Project63-57	2021/10/14	Participant12		Recording28	2020/10/22	2020/10/22	14:39:09.200	06:39:09.200	7026233	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.0	13.5	19.9	1.27	1.72	2.53	6367650463			1024	650	1177	455	872	845	0.17162	0.09621	-0.98045	-0.05140	0.21627	-0.97498			Valid	Valid	131.7	31.1	591.0	200.5	30.9	608.3	0.5334	0.6022	0.6128	0.4216	0.4541	0.7829	Fixation	83	3573	1025	628
4859902	6367659	Eye Tracker	Project63-57	2021/10/14	Participant12		Recording28	2020/10/22	2020/10/22	14:39:09.200	06:39:09.200	7026233	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.0	13.5	19.9	1.27	1.72	2.53	6367658788			1034	650	1194	449	874	851	0.17803	0.09417	-0.97951	-0.05038	0.21780	-0.97469			Valid	Valid	131.4	31.1	591.1	200.1	31.6	606.1	0.5384	0.6022	0.6217	0.4161	0.4550	0.7882	Fixation	83	3573	1025	628
4859911	6367667	Eye Tracker	Project63-57	2021/10/14	Participant12		Recording28	2020/10/22	2020/10/22	14:39:09.200	06:39:09.200	7026233	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.0	13.5	19.9	1.27	1.72	2.53	6367667207			1030	631	1191	447	870	814	0.17714	0.09406	-0.97968	-0.05152	0.20638	-0.97711	4.89	4.87	Valid	Valid	131.1	30.7	592.4	199.9	31.9	605.0	0.5367	0.5839	0.6203	0.4143	0.4530	0.7536	Fixation	83	3573	1025	628
