Recording timestamp	Computer timestamp	Sensor	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Average calibration accuracy (mm)	Average calibration precision SD (mm)	Average calibration precision RMS (mm)	Average calibration accuracy (degrees)	Average calibration precision SD (degrees)	Average calibration precision RMS (degrees)	Eyetracker timestamp	Event	Event value	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y
3838706	438713616		Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57		mid_sh_04 IntervalStart																														EyesNotFound	17	20847		
3838710	438713620	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713619789			860	525	860	525			0.11985	0.08055	-0.98952						Valid	Invalid	119.4	71.2	387.9				0.4479	0.4859	0.4479	0.4859			Unclassified	8	55265		
3838719	438713628	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713628242																	Invalid	Invalid													EyesNotFound	17	20848		
3838727	438713636	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713636439																	Invalid	Invalid													EyesNotFound	17	20848		
3838735	438713645	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713644790			1286	1412	1286	1412			0.30092	0.45158	-0.83995						Valid	Invalid	118.6	69.3	387.0										Unclassified	8	55266		
3838744	438713653	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713653118																	Invalid	Invalid													EyesNotFound	17	20849		
3838752	438713661	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713661500																	Invalid	Invalid													EyesNotFound	17	20849		
3838760	438713670	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713669789			1268	1476	1268	1476			0.28951	0.47419	-0.83146						Valid	Invalid	118.6	69.3	387.0										Unclassified	8	55267		
3838769	438713678	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713678243																	Invalid	Invalid													EyesNotFound	67	20850		
3838777	438713686	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713686472																	Invalid	Invalid													EyesNotFound	67	20850		
3838785	438713695	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713694800																	Invalid	Invalid													EyesNotFound	67	20850		
3838794	438713703	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713703096																	Invalid	Invalid													EyesNotFound	67	20850		
3838802	438713711	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713711463																	Invalid	Invalid													EyesNotFound	67	20850		
3838810	438713720	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713719783																	Invalid	Invalid													EyesNotFound	67	20850		
3838819	438713729	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713728532																	Invalid	Invalid													EyesNotFound	67	20850		
3838827	438713736	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713736490																	Invalid	Invalid													EyesNotFound	67	20850		
3838835	438713745	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713744791			822	435	822	435			0.09968	0.03577	-0.99438						Valid	Invalid	119.5	71.2	387.9				0.4282	0.4026	0.4282	0.4026			Unclassified	8	55268		
3838844	438713753	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713753094																	Invalid	Invalid													EyesNotFound	113	20851		
3838852	438713761	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713761436																	Invalid	Invalid													EyesNotFound	113	20851		
3838860	438713770	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713769784																	Invalid	Invalid													EyesNotFound	113	20851		
3838869	438713778	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713778086																	Invalid	Invalid													EyesNotFound	113	20851		
3838877	438713786	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713786145																	Invalid	Invalid													EyesNotFound	113	20851		
3838885	438713794	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713794478																	Invalid	Invalid													EyesNotFound	113	20851		
3838893	438713803	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713802811																	Invalid	Invalid													EyesNotFound	113	20851		
3838902	438713811	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713811144																	Invalid	Invalid													EyesNotFound	113	20851		
3838910	438713819	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713819477																	Invalid	Invalid													EyesNotFound	113	20851		
3838918	438713828	Eye Tracker	Project77-70	2021/3/19	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	438713827810																	Invalid	Invalid													EyesNotFound	113	20851		
