Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Average calibration accuracy [mm]	Average calibration precision SD [mm]	Average calibration precision RMS [mm]	Average calibration accuracy [°]	Average calibration precision SD [°]	Average calibration precision RMS [°]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [MCS px]	Gaze point Y [MCS px]	Gaze point left X [MCS px]	Gaze point left Y [MCS px]	Gaze point right X [MCS px]	Gaze point right Y [MCS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [MCS px]	Fixation point Y [MCS px]
4973618	1294641448		Project77-70	2021/10/14	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12		hou_shu_02_s																														Saccade	25	65676		
4973624	1294641454	Eye Tracker	Project77-70	2021/10/14	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12	1294641453519			920	719			920	719				0.09435	0.21773	-0.97144		5.78	Invalid	Valid				133.9	36.8	464.4	0.4791	0.6654			0.4791	0.6654	Saccade	25	65676		
4973632	1294641462	Eye Tracker	Project77-70	2021/10/14	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12	1294641461867																	Invalid	Invalid													EyesNotFound	8	27401		
4973640	1294641470	Eye Tracker	Project77-70	2021/10/14	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12	1294641470203			876	709			876	709				0.07494	0.21413	-0.97393			Invalid	Valid				133.9	36.9	464.2	0.4563	0.6562			0.4563	0.6562	Saccade	25	65677		
4973649	1294641479	Eye Tracker	Project77-70	2021/10/14	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12	1294641478524			880	702			880	702				0.07697	0.21138	-0.97437		5.74	Invalid	Valid				133.8	37.0	464.2	0.4585	0.6501			0.4585	0.6501	Saccade	25	65677		
4973657	1294641487	Eye Tracker	Project77-70	2021/10/14	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12	1294641486856			897	633			897	633				0.08519	0.18375	-0.97927			Invalid	Valid				133.8	37.0	464.1	0.4670	0.5861			0.4670	0.5861	Saccade	25	65677		
4973665	1294641495	Eye Tracker	Project77-70	2021/10/14	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12	1294641495199																	Invalid	Invalid													EyesNotFound	8	27402		
4973674	1294641504	Eye Tracker	Project77-70	2021/10/14	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12	1294641503601			897	634			897	634				0.08540	0.18440	-0.97913		5.02	Invalid	Valid				133.6	36.7	464.7	0.4670	0.5870			0.4670	0.5870	Saccade	25	65678		
4973682	1294641512	Eye Tracker	Project77-70	2021/10/14	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12	1294641511998			901	660			901	660				0.08698	0.19473	-0.97699			Invalid	Valid				133.6	36.6	464.9	0.4690	0.6108			0.4690	0.6108	Saccade	25	65678		
4973690	1294641520	Eye Tracker	Project77-70	2021/10/14	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12	1294641520249			900	730			900	730				0.08615	0.22263	-0.97109			Invalid	Valid				133.5	36.6	464.9	0.4687	0.6760			0.4687	0.6760	Saccade	25	65678		
