429092	320278651	Eye Tracker	Project3	2021/7/8	lmf	Recording2	2021/7/6	2021/7/6	10:28:16.913	02:28:16.913	2843643	Timeline1	Tobii I-VT (Fixation)	1.152.30002	1080	1920	10.00																			320278651147																	Invalid	Invalid																	Screen Recording	Screen Recording Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	133	704												
429100	320278659	Eye Tracker	Project3	2021/7/8	lmf	Recording2	2021/7/6	2021/7/6	10:28:16.913	02:28:16.913	2843643	Timeline1	Tobii I-VT (Fixation)	1.152.30002	1080	1920	10.00																			320278659256																	Invalid	Invalid																	Screen Recording	Screen Recording Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	133	704												
429108	320278668	Eye Tracker	Project3	2021/7/8	lmf	Recording2	2021/7/6	2021/7/6	10:28:16.913	02:28:16.913	2843643	Timeline1	Tobii I-VT (Fixation)	1.152.30002	1080	1920	10.00																			320278667555																	Invalid	Invalid																	Screen Recording	Screen Recording Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	133	704												
429116	320278676	Eye Tracker	Project3	2021/7/8	lmf	Recording2	2021/7/6	2021/7/6	10:28:16.913	02:28:16.913	2843643	Timeline1	Tobii I-VT (Fixation)	1.152.30002	1080	1920	10.00																			320278675872																	Invalid	Invalid																	Screen Recording	Screen Recording Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	133	704												
429125	320278684	Eye Tracker	Project3	2021/7/8	lmf	Recording2	2021/7/6	2021/7/6	10:28:16.913	02:28:16.913	2843643	Timeline1	Tobii I-VT (Fixation)	1.152.30002	1080	1920	10.00																			320278684188																	Invalid	Invalid																	Screen Recording	Screen Recording Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	133	704												
429133	320278693	Eye Tracker	Project3	2021/7/8	lmf	Recording2	2021/7/6	2021/7/6	10:28:16.913	02:28:16.913	2843643	Timeline1	Tobii I-VT (Fixation)	1.152.30002	1080	1920	10.00																			320278692535																	Invalid	Invalid																	Screen Recording	Screen Recording Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	133	704												
429141	320278701	Eye Tracker	Project3	2021/7/8	lmf	Recording2	2021/7/6	2021/7/6	10:28:16.913	02:28:16.913	2843643	Timeline1	Tobii I-VT (Fixation)	1.152.30002	1080	1920	10.00																			320278700913																	Invalid	Invalid																	Screen Recording	Screen Recording Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	133	704												
429150	320278709	Eye Tracker	Project3	2021/7/8	lmf	Recording2	2021/7/6	2021/7/6	10:28:16.913	02:28:16.913	2843643	Timeline1	Tobii I-VT (Fixation)	1.152.30002	1080	1920	10.00																			320278709248																	Invalid	Invalid																	Screen Recording	Screen Recording Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	133	704												
429158	320278718	Eye Tracker	Project3	2021/7/8	lmf	Recording2	2021/7/6	2021/7/6	10:28:16.913	02:28:16.913	2843643	Timeline1	Tobii I-VT (Fixation)	1.152.30002	1080	1920	10.00																			320278717612																	Invalid	Invalid																	Screen Recording	Screen Recording Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	133	704												
429166	320278726	Eye Tracker	Project3	2021/7/8	lmf	Recording2	2021/7/6	2021/7/6	10:28:16.913	02:28:16.913	2843643	Timeline1	Tobii I-VT (Fixation)	1.152.30002	1080	1920	10.00																			320278725906																	Invalid	Invalid																	Screen Recording	Screen Recording Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	133	704												
429175	320278734	Eye Tracker	Project3	2021/7/8	lmf	Recording2	2021/7/6	2021/7/6	10:28:16.913	02:28:16.913	2843643	Timeline1	Tobii I-VT (Fixation)	1.152.30002	1080	1920	10.00																			320278734225																	Invalid	Invalid																	Screen Recording	Screen Recording Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	133	704												
429183	320278743	Eye Tracker	Project3	2021/7/8	lmf	Recording2	2021/7/6	2021/7/6	10:28:16.913	02:28:16.913	2843643	Timeline1	Tobii I-VT (Fixation)	1.152.30002	1080	1920	10.00																			320278742533			791	782			791	782				-0.04158	0.38659	-0.92131			Invalid	Valid				274.7	-25.6	640.7			245.8	243.2	0.4118	0.7238			0.4118	0.7238	Screen Recording	Screen Recording Recording2.mp4	1920	1080	0	0	1920	1080	Saccade	33	3103												
