Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Average calibration accuracy [mm]	Average calibration precision SD [mm]	Average calibration precision RMS [mm]	Average calibration accuracy [°]	Average calibration precision SD [°]	Average calibration precision RMS [°]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [MCS px]	Gaze point Y [MCS px]	Gaze point left X [MCS px]	Gaze point left Y [MCS px]	Gaze point right X [MCS px]	Gaze point right Y [MCS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [MCS px]	Fixation point Y [MCS px]
5096406	1035209125		Project77-70	2021/10/14	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25		hou_shu_02_s																														Saccade	25	53099		
5096412	1035209130	Eye Tracker	Project77-70	2021/10/14	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25	1035209130395			950	1850	950	1850			0.02681	0.53966	-0.84145						Valid	Invalid	165.0	-11.1	584.4										Saccade	25	53099		
5096420	1035209139	Eye Tracker	Project77-70	2021/10/14	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25	1035209138673																	Invalid	Invalid													EyesNotFound	8	25546		
5096429	1035209147	Eye Tracker	Project77-70	2021/10/14	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25	1035209146998			1082	807	1082	807			0.08183	0.27560	-0.95778						Valid	Invalid	164.1	-10.0	584.8				0.5635	0.7472	0.5635	0.7472			Saccade	33	53100		
5096437	1035209155	Eye Tracker	Project77-70	2021/10/14	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25	1035209155328			1093	700	1093	700			0.08662	0.24315	-0.96611						Valid	Invalid	164.1	-10.0	584.8				0.5691	0.6481	0.5691	0.6481			Saccade	33	53100		
5096445	1035209164	Eye Tracker	Project77-70	2021/10/14	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25	1035209163684			1063	691	1063	691			0.07588	0.24060	-0.96765				4.72		Valid	Invalid	164.2	-10.0	584.9				0.5534	0.6396	0.5534	0.6396			Saccade	33	53100		
5096454	1035209172	Eye Tracker	Project77-70	2021/10/14	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25	1035209171991			997	683	1059	681	936	685	0.07443	0.23777	-0.96847	-0.08959	0.22996	-0.96907			Valid	Valid	164.2	-10.0	584.8	236.4	-3.9	582.6	0.5194	0.6325	0.5514	0.6307	0.4874	0.6343	Saccade	33	53100		
5096462	1035209180	Eye Tracker	Project77-70	2021/10/14	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25	1035209180413			1030	708	1045	694	1016	722	0.06924	0.24202	-0.96780	-0.06101	0.24199	-0.96836			Valid	Valid	164.3	-10.3	585.6	236.6	-4.3	583.5	0.5366	0.6554	0.5442	0.6427	0.5290	0.6681	Unclassified	42	56071		
5096470	1035209189	Eye Tracker	Project77-70	2021/10/14	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25	1035209188670			1030	676	1038	651	1021	700	0.06685	0.22906	-0.97112	-0.05926	0.23551	-0.97006	4.80	4.75	Valid	Valid	164.3	-10.6	586.3	236.7	-4.5	584.2	0.5362	0.6256	0.5405	0.6029	0.5319	0.6483	Unclassified	42	56071		
5096479	1035209197	Eye Tracker	Project77-70	2021/10/14	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25	1035209197158			1021	700			1021	700				-0.06041	0.23829	-0.96931			Invalid	Valid				238.2	-9.3	596.4	0.5319	0.6483			0.5319	0.6483	Unclassified	42	56071		
