Recording timestamp	Computer timestamp	Sensor	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Average calibration accuracy (mm)	Average calibration precision SD (mm)	Average calibration precision RMS (mm)	Average calibration accuracy (degrees)	Average calibration precision SD (degrees)	Average calibration precision RMS (degrees)	Eyetracker timestamp	Event	Event value	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y
3811215	229543443		Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52		mid-shu-03-start																														EyesNotFound	17	18990		
3811222	229543451	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543450554			1129	839			1129	839				0.04540	0.34742	-0.93661			Invalid	Valid				209.7	54.3	297.4	0.5880	0.7772			0.5880	0.7772	Unclassified	8	31150		
3811231	229543459	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543458873																	Invalid	Invalid													EyesNotFound	17	18991		
3811239	229543467	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543467386																	Invalid	Invalid													EyesNotFound	17	18991		
3811248	229543476	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543475596			1125	738			1125	738				0.04449	0.28883	-0.95634			Invalid	Valid				209.6	54.8	297.5	0.5859	0.6831			0.5859	0.6831	Unclassified	17	31151		
3811256	229543484	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543483925			1104	858			1104	858				0.02844	0.35741	-0.93352			Invalid	Valid				209.6	54.5	297.2	0.5749	0.7942			0.5749	0.7942	Unclassified	17	31151		
3811264	229543492	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543492300																	Invalid	Invalid													EyesNotFound	8	18992		
3811273	229543501	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543500570			1063	885			1063	885				-0.00060	0.37077	-0.92873			Invalid	Valid				209.9	54.9	297.2	0.5534	0.8190			0.5534	0.8190	Unclassified	8	31152		
3811281	229543509	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543508878																	Invalid	Invalid													EyesNotFound	17	18993		
3811289	229543517	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543517236																	Invalid	Invalid													EyesNotFound	17	18993		
3811298	229543526	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543525605			1077	945			1077	945				0.00871	0.40273	-0.91528			Invalid	Valid				209.9	54.8	296.9	0.5611	0.8748			0.5611	0.8748	Unclassified	8	31153		
3811306	229543534	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543533903																	Invalid	Invalid													EyesNotFound	17	18994		
3811314	229543542	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543542251																	Invalid	Invalid													EyesNotFound	17	18994		
3811323	229543551	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543550580			1060	812			1060	812				-0.00221	0.33105	-0.94361			Invalid	Valid				210.1	55.1	296.8	0.5523	0.7515			0.5523	0.7515	Unclassified	8	31154		
3811331	229543559	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543558977																	Invalid	Invalid													EyesNotFound	17	18995		
3811339	229543567	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543567228																	Invalid	Invalid													EyesNotFound	17	18995		
3811348	229543576	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543575566			1115	738			1115	738				0.03603	0.28822	-0.95689			Invalid	Valid				210.1	55.4	296.7	0.5806	0.6835			0.5806	0.6835	Unclassified	8	31155		
3811356	229543584	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543583867																	Invalid	Invalid													EyesNotFound	17	18996		
3811364	229543592	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543592206																	Invalid	Invalid													EyesNotFound	17	18996		
3811373	229543601	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543600580			1099	954			1099	954				0.02187	0.40692	-0.91320			Invalid	Valid				210.4	55.2	296.4	0.5724	0.8834			0.5724	0.8834	Unclassified	17	31156		
3811381	229543609	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543608915			1126	860			1126	860				0.04153	0.35679	-0.93326			Invalid	Valid				210.2	55.4	296.6	0.5862	0.7965			0.5862	0.7965	Unclassified	17	31156		
3811389	229543617	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543617199																	Invalid	Invalid													EyesNotFound	8	18997		
3811397	229543626	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543625534			1097	783			1097	783				0.02126	0.31400	-0.94919			Invalid	Valid				210.6	55.4	296.4	0.5712	0.7246			0.5712	0.7246	Unclassified	17	31157		
3811406	229543634	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543633861			1105	809			1105	809				0.02789	0.32864	-0.94404			Invalid	Valid				210.3	55.4	296.6	0.5757	0.7488			0.5757	0.7488	Unclassified	17	31157		
3811414	229543642	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543642194																	Invalid	Invalid													EyesNotFound	8	18998		
3811422	229543651	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543650562			1103	874			1103	874				0.02435	0.36528	-0.93058			Invalid	Valid				210.7	55.2	296.3	0.5745	0.8094			0.5745	0.8094	Unclassified	8	31158		
3811431	229543659	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543658886																	Invalid	Invalid													EyesNotFound	17	18999		
3811439	229543667	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543667197																	Invalid	Invalid													EyesNotFound	17	18999		
3811447	229543676	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543675557			1105	815			1105	815				0.02615	0.33265	-0.94269			Invalid	Valid				210.8	55.4	296.4	0.5757	0.7551			0.5757	0.7551	Unclassified	8	31159		
3811456	229543684	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543683899																	Invalid	Invalid													EyesNotFound	42	19000		
3811464	229543692	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543692231																	Invalid	Invalid													EyesNotFound	42	19000		
3811473	229543701	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543700569																	Invalid	Invalid													EyesNotFound	42	19000		
3811481	229543709	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543708881																	Invalid	Invalid													EyesNotFound	42	19000		
3811489	229543717	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543717222																	Invalid	Invalid													EyesNotFound	42	19000		
3811497	229543726	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543725530			1127	752			1127	752				0.04145	0.29522	-0.95453			Invalid	Valid				210.9	55.7	296.6	0.5868	0.6959			0.5868	0.6959	Unclassified	8	31160		
3811506	229543734	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543733929																	Invalid	Invalid													EyesNotFound	17	19001		
3811514	229543742	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543742190																	Invalid	Invalid													EyesNotFound	17	19001		
3811522	229543751	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543750561			981	952			981	952				-0.05796	0.40233	-0.91366			Invalid	Valid				210.7	56.1	296.8	0.5108	0.8813			0.5108	0.8813	Unclassified	17	31161		
3811531	229543759	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543758858			989	985			989	985				-0.05156	0.41932	-0.90637			Invalid	Valid				210.5	56.0	296.9	0.5152	0.9123			0.5152	0.9123	Unclassified	17	31161		
3811539	229543767	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543767231																	Invalid	Invalid													EyesNotFound	8	19002		
3811547	229543776	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543775522			982	1030			982	1030				-0.05654	0.44036	-0.89604			Invalid	Valid				210.8	56.3	296.9	0.5116	0.9539			0.5116	0.9539	Unclassified	17	31162		
3811556	229543784	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543783897			1007	1017			1007	1017				-0.03987	0.43436	-0.89985			Invalid	Valid				210.5	56.3	297.0	0.5244	0.9419			0.5244	0.9419	Unclassified	17	31162		
3811564	229543792	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543792227																	Invalid	Invalid													EyesNotFound	8	19003		
3811572	229543801	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543800537			1008	1008			1008	1008				-0.04006	0.42965	-0.90211			Invalid	Valid				210.9	56.5	296.8	0.5252	0.9333			0.5252	0.9333	Unclassified	17	31163		
3811581	229543809	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543808886			981	1040			981	1040				-0.05764	0.44496	-0.89369			Invalid	Valid				210.8	56.4	296.8	0.5107	0.9631			0.5107	0.9631	Unclassified	17	31163		
3811589	229543817	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543817187																	Invalid	Invalid													EyesNotFound	8	19004		
3811597	229543826	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543825528			930	1066			930	1066				-0.09121	0.45564	-0.88548			Invalid	Valid				211.3	56.6	296.6	0.4845	0.9868			0.4845	0.9868	Unclassified	17	31164		
3811606	229543834	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543833899			969	1094			969	1094				-0.06438	0.47018	-0.88022			Invalid	Valid				210.8	56.4	296.6							Unclassified	17	31164		
3811614	229543842	Eye Tracker	Project77-70	2021/8/13	Participant9		Recording25	2020/10/19	2020/10/19	14:37:21.497	06:37:21.497	7213831	Tobii I-VT (Fixation)	1.145.28180	1080	1920	6.3	3.6	5.5	0.59	0.34	0.52	229543842199																	Invalid	Invalid													EyesNotFound	8	19005		
