Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Average calibration accuracy [mm]	Average calibration precision SD [mm]	Average calibration precision RMS [mm]	Average calibration accuracy [°]	Average calibration precision SD [°]	Average calibration precision RMS [°]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [MCS px]	Gaze point Y [MCS px]	Gaze point left X [MCS px]	Gaze point left Y [MCS px]	Gaze point right X [MCS px]	Gaze point right Y [MCS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [MCS px]	Fixation point Y [MCS px]
3638281	8352270		Project77-70	2021/10/14	Participant29		Recording46	2020/11/18	2020/11/18	15:31:26.520	07:31:26.520	6967415	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	3.2	4.8	0.80	0.36	0.54		mid_shu_04_s																														Unclassified	17	34998
3638286	8352275	Eye Tracker	Project77-70	2021/10/14	Participant29		Recording46	2020/11/18	2020/11/18	15:31:26.520	07:31:26.520	6967415	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	3.2	4.8	0.80	0.36	0.54	8352275305			891	878	985	879	798	878	0.08111	0.14986	-0.98537	-0.09971	0.13727	-0.98550			Valid	Valid	145.1	84.2	580.1	211.1	91.3	581.1	0.4641	0.8133	0.5128	0.8137	0.4155	0.8128	Unclassified	17	34998		
3638295	8352284	Eye Tracker	Project77-70	2021/10/14	Participant29		Recording46	2020/11/18	2020/11/18	15:31:26.520	07:31:26.520	6967415	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	3.2	4.8	0.80	0.36	0.54	8352283549																	Invalid	Invalid													EyesNotFound	8	21968		
3638303	8352292	Eye Tracker	Project77-70	2021/10/14	Participant29		Recording46	2020/11/18	2020/11/18	15:31:26.520	07:31:26.520	6967415	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	3.2	4.8	0.80	0.36	0.54	8352291940			638	736	679	716	598	756	-0.02844	0.09438	-0.99513	-0.17030	0.09278	-0.98101			Valid	Valid	143.4	85.1	582.8	209.3	93.8	576.1	0.3325	0.6815	0.3534	0.6630	0.3116	0.6999	Unclassified	17	34999		
3638311	8352300	Eye Tracker	Project77-70	2021/10/14	Participant29		Recording46	2020/11/18	2020/11/18	15:31:26.520	07:31:26.520	6967415	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	3.2	4.8	0.80	0.36	0.54	8352300228			639	692	639	692			-0.04208	0.08684	-0.99533						Valid	Invalid	142.9	84.7	584.5				0.3327	0.6409	0.3327	0.6409			Unclassified	17	34999		
3638320	8352309	Eye Tracker	Project77-70	2021/10/14	Participant29		Recording46	2020/11/18	2020/11/18	15:31:26.520	07:31:26.520	6967415	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	3.2	4.8	0.80	0.36	0.54	8352308562																	Invalid	Invalid													EyesNotFound	8	21969		
3638328	8352317	Eye Tracker	Project77-70	2021/10/14	Participant29		Recording46	2020/11/18	2020/11/18	15:31:26.520	07:31:26.520	6967415	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	3.2	4.8	0.80	0.36	0.54	8352316867			454	648	510	668	398	627	-0.08710	0.08072	-0.99292	-0.23759	0.05217	-0.96996			Valid	Valid	142.3	82.7	592.9	209.4	91.5	584.5	0.2365	0.5996	0.2655	0.6183	0.2074	0.5808	Unclassified	17	35000		
3638336	8352325	Eye Tracker	Project77-70	2021/10/14	Participant29		Recording46	2020/11/18	2020/11/18	15:31:26.520	07:31:26.520	6967415	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	3.2	4.8	0.80	0.36	0.54	8352325231			459	649	510	666	409	633	-0.08428	0.08210	-0.99305	-0.23087	0.05696	-0.97132			Valid	Valid	141.4	80.8	601.0	209.7	89.2	594.3	0.2393	0.6011	0.2658	0.6164	0.2128	0.5859	Unclassified	17	35000		
3638345	8352334	Eye Tracker	Project77-70	2021/10/14	Participant29		Recording46	2020/11/18	2020/11/18	15:31:26.520	07:31:26.520	6967415	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	3.2	4.8	0.80	0.36	0.54	8352333559																	Invalid	Invalid													EyesNotFound	8	21970		
3638353	8352342	Eye Tracker	Project77-70	2021/10/14	Participant29		Recording46	2020/11/18	2020/11/18	15:31:26.520	07:31:26.520	6967415	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	3.2	4.8	0.80	0.36	0.54	8352341916			715	1128	945	1582	484	674	0.06579	0.35784	-0.93146	-0.20148	0.07595	-0.97654			Valid	Valid	140.1	77.6	606.9	209.2	85.2	603.2					0.2523	0.6238	Unclassified	17	35001		
