Recording timestamp	Computer timestamp	Sensor	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Average calibration accuracy (mm)	Average calibration precision SD (mm)	Average calibration precision RMS (mm)	Average calibration accuracy (degrees)	Average calibration precision SD (degrees)	Average calibration precision RMS (degrees)	Eyetracker timestamp	Event	Event value	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y
3775352	1033888070		Project77-70	2021/8/20	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25		mid_shu_01_start																														Fixation	83	7433	689	524
3775352	1033888071	Eye Tracker	Project77-70	2021/8/20	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25	1033888070548			681	566	734	655	628	478	-0.01968	0.12652	-0.99177	-0.15611	0.07026	-0.98524			Valid	Valid	152.7	38.8	702.5	225.4	44.4	688.4	0.3546	0.5243	0.3821	0.6064	0.3272	0.4423	Fixation	83	7433	689	524
3775361	1033888079	Eye Tracker	Project77-70	2021/8/20	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25	1033888078854			686	539	740	598	632	480	-0.01730	0.11094	-0.99368	-0.15476	0.07102	-0.98540			Valid	Valid	152.6	38.7	702.9	225.3	44.3	688.5	0.3575	0.4989	0.3856	0.5536	0.3294	0.4442	Fixation	83	7433	689	524
3775369	1033888087	Eye Tracker	Project77-70	2021/8/20	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25	1033888087212			683	541	741	598	625	484	-0.01716	0.11092	-0.99368	-0.15696	0.07234	-0.98495	4.12	3.97	Valid	Valid	152.6	38.6	702.9	225.3	44.3	688.6	0.3557	0.5010	0.3858	0.5533	0.3256	0.4486	Fixation	83	7433	689	524
3775377	1033888096	Eye Tracker	Project77-70	2021/8/20	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25	1033888095532			685	517	743	607	626	426	-0.01647	0.11354	-0.99340	-0.15667	0.05614	-0.98605			Valid	Valid	152.6	38.6	702.9	225.3	44.3	688.6	0.3566	0.4784	0.3871	0.5619	0.3261	0.3949	Fixation	83	7433	689	524
3775386	1033888104	Eye Tracker	Project77-70	2021/8/20	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25	1033888103854			702	513	770	619	633	406	-0.00814	0.11692	-0.99311	-0.15434	0.05063	-0.98672			Valid	Valid	152.5	38.6	702.8	225.3	44.2	688.7	0.3655	0.4748	0.4010	0.5734	0.3299	0.3762	Fixation	83	7433	689	524
3775394	1033888112	Eye Tracker	Project77-70	2021/8/20	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25	1033888112213			702	513	770	619	633	406	-0.00814	0.11693	-0.99311	-0.15442	0.05070	-0.98670	4.07	4.07	Valid	Valid	152.5	38.6	702.7	225.3	44.1	688.8	0.3654	0.4748	0.4010	0.5734	0.3297	0.3763	Fixation	83	7433	689	524
3775402	1033888121	Eye Tracker	Project77-70	2021/8/20	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25	1033888120528			685	537	743	661	628	413	-0.01655	0.12835	-0.99159	-0.15590	0.05264	-0.98637			Valid	Valid	152.5	38.7	702.3	225.2	44.1	688.8	0.3570	0.4973	0.3869	0.6120	0.3271	0.3825	Saccade	8	38193		
3775411	1033888129	Eye Tracker	Project77-70	2021/8/20	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25	1033888128878			679	545	750	651	607	438	-0.01425	0.12560	-0.99198	-0.16204	0.05979	-0.98497			Valid	Valid	152.4	38.8	701.9	225.2	44.0	688.9	0.3534	0.5044	0.3905	0.6029	0.3164	0.4058	Fixation	100	7434	685	542
3775419	1033888137	Eye Tracker	Project77-70	2021/8/20	Participant4		Recording18	2020/10/10	2020/10/10	14:29:39.943	06:29:39.943	7470156	Tobii I-VT (Fixation)	1.145.28180	1080	1920	3.2	11.4	14.3	0.28	0.99	1.25	1033888137204			674	546	740	653	608	438	-0.01715	0.12609	-0.99187	-0.16193	0.05987	-0.98499	4.06	3.93	Valid	Valid	152.4	38.9	701.5	225.2	44.0	689.0	0.3510	0.5053	0.3856	0.6047	0.3165	0.4060	Fixation	100	7434	685	542
