Recording timestamp	Computer timestamp	Sensor	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Average calibration accuracy (mm)	Average calibration precision SD (mm)	Average calibration precision RMS (mm)	Average calibration accuracy (degrees)	Average calibration precision SD (degrees)	Average calibration precision RMS (degrees)	Eyetracker timestamp	Event	Event value	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y
3746589	315393547		Project77-70	2021/8/13	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91		mid-shu-03-start																														Saccade	42	40115		
3746594	315393551	Eye Tracker	Project77-70	2021/8/13	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91	315393551270			886	755	1029	781	742	729	0.17021	0.25135	-0.95281	-0.04266	0.23857	-0.97019	5.64	5.48	Valid	Valid	93.0	-8.7	613.4	168.4	-13.1	634.9	0.4612	0.6991	0.5359	0.7229	0.3866	0.6753	Saccade	42	40115		
3746602	315393560	Eye Tracker	Project77-70	2021/8/13	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91	315393559594			1029	781	1029	781			0.16971	0.25252	-0.95259						Valid	Invalid	92.1	-11.2	620.0				0.5359	0.7230	0.5359	0.7230			Unclassified	8	60136		
3746610	315393568	Eye Tracker	Project77-70	2021/8/13	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91	315393567865			1009	772	1009	772			0.16348	0.25116	-0.95404						Valid	Invalid	91.1	-13.0	624.8				0.5253	0.7152	0.5253	0.7152			Saccade	25	40116		
3746619	315393576	Eye Tracker	Project77-70	2021/8/13	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91	315393576209			985	785	1024	806	946	763	0.16760	0.26043	-0.95084	0.02454	0.25021	-0.96788	5.61	5.07	Valid	Valid	91.2	-13.1	625.2	168.2	-17.3	646.1	0.5128	0.7265	0.5332	0.7463	0.4925	0.7067	Saccade	25	40116		
3746627	315393585	Eye Tracker	Project77-70	2021/8/13	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91	315393584604			1014	803	1014	803			0.16454	0.25985	-0.95153						Valid	Invalid	91.3	-13.1	624.9				0.5283	0.7439	0.5283	0.7439			Saccade	25	40116		
3746635	315393593	Eye Tracker	Project77-70	2021/8/13	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91	315393592870																	Invalid	Invalid													EyesNotFound	8	46398		
3746644	315393601	Eye Tracker	Project77-70	2021/8/13	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91	315393601306			869	683			869	683				0.00012	0.22770	-0.97373		5.41	Invalid	Valid				168.1	-17.0	645.0	0.4527	0.6321			0.4527	0.6321	Unclassified	17	60137		
3746652	315393610	Eye Tracker	Project77-70	2021/8/13	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91	315393609631			1044	804	1044	804			0.17426	0.25971	-0.94984						Valid	Invalid	91.3	-12.8	624.0				0.5437	0.7449	0.5437	0.7449			Unclassified	17	60137		
3746660	315393618	Eye Tracker	Project77-70	2021/8/13	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91	315393617865																	Invalid	Invalid													EyesNotFound	8	46399		
